artist_name,artist_id
Daniel Caesar,1021293
GIVĒON,32396647
HARIKIRI,12200029
Lil Tjay,28391620
mixed matches,30537410
Michael Jackson,38853
Max Oazo,13159084
JORDANN,338718
Reynard Silva,42608
MXZI,95201392
Future,33794
Lauv,1057226
bbno$,12054171
Ne-Yo,40423
Mr. Collipark,310181
The Kid LAROI,32795025
Wiz Khalifa,46006
Martin Garrix,780003
Don Toliver,14253161
Shawn Mendes,956238
Post Malone,1057092
Troye Sivan,45129
Playboi Carti,12068095
Anson Seabra,14470054
David Guetta,31211
Jay Sean,35355
Shiloh Dynasty,12647577
Jamvana,62036307
21 Savage,12062134
Lil Uzi Vert,1180075
Juice WRLD,13581233
SoMo,892040
RJ Pasin,15209854
Calvin Harris,29968
Russ,241588
Tyler, The Creator,44708
Demxntia,12598596
John Legend,35342
Akon,27595
DJ XRAY,96285535
Lil Wayne,38118
Justin Timberlake,35331
suhmeduh,12214251
Grabbitz,975793
Avicii,45236
Bad Bunny,12333183
Khalid,301757
Hayd,31213402
Lukrative,12108450
Central Cee,31996349
Metro Boomin,976120
Nana,40437
Chris Brown,29960
Darren Hayes,31190
Marshmello,1060019
Nelly,40431
JONY,13128118
TRA$H,12544560
ILLENIUM,1050518
Tyga,45033
Ty Dolla $ign,789235
J. Cole,36910
Tobu,964486
Connor Price,35023883
Jake Miller,776761
Sam Smith,740216
Julien Marchal,12463346
Toby Fox,1193377
Alec Benjamin,1028104
Olly Murs,41034
Jmilton,56060074
Dhruv,32470128
Frank Ocean,33727
LJones,38770
6LACK,12122239
Flo Rida,56783
Yung Bleu,12576142
Corn Wave,36526595
Lil Baby,12505561
Young Thug,287014
Sufjan Stevens,42955
Michael Calfan,129236
АДЛИН,33009886
Rich Brian,12024301
Taylor Swift,44266
Selena Gomez,140196
Lady Gaga,64147
Ariana Grande,48161
Rihanna,72724
Shakira,74623
Billie Eilish,11972054
Lana Del Rey,66212
SZA,905232
Keyshia Cole,37528
Adele,46487
Doja Cat,911131
Kelly Clarkson,62885
Mariah Carey,66355
Cécile Corbel,51012
Tinashe,45221
Sia,74625
Whitney Houston,84061
Sabrina Carpenter,77993
Nicki Minaj,70183
Moonessa,29834706
Carly Rae Jepsen,50934
Laufey,35111369
Alicia Keys,46489
Ashanti,46508
Lindsey Stirling,66225
Ellie Goulding,56598
Tyla,46751002
Halsey,964321
Britney Spears,48432
Dua Lipa,1135086
Gwen Stefani,57958
INNA,60848
NIKI,473353
Avril Lavigne,46490
Beyoncé,48436
Sasha Alex Sloan,12646102
TYSM,12278200
RAYE,1077053
Vendredi sur mer,14251703
Chevy,47992679
Daya,1081186
AURORA,1043338
Dido,53235
Jamelia,60963
Kali Uchis,1070056
Mitski,817168
Madonna,66364
Ava Max,14486166
Kesha,63901
Cozi Zuehlsdorff,1097153
Katy Perry,62888
Camila Cabello,12136039
Charli xcx,53092
REI AMI,32799796
Kehlani,1060155
Audrey Nuna,14549000
Zella Day,900106
Kelly Rowland,62908
Nevve,12567101
beabadoobee,29639890
Alessia Cara,1074089
Nakama,28724923
Bebe Rexha,336466
Kiana Ledé,12408203
Leah Marie Perez,35037845
Rachel Platten,74518
MADILYN,69270
Christina Perri,52979
Tate McRae,30784458
二宮愛,1054093
kaash paige,30107803
IVIE,12154348
Annika Wells,12108797
Pauline Herr,13080654
Lenka,64143
Coi Leray,29203009
Larissa Lambert,35117691
Meg Myers,388484
Emma Stone,12213050
Lily-Rose Depp,31849592
Colbie Caillat,50890
Noah Cyrus,12175271
Em Beihold,34847518
Romy Dya,12900365
Ida Corr,60390
P!nk,70821
Doechii,52536482
Enya,55520
Ari Abdul,51316343
Muni Long,36766218
Stephanie Poetri,32624368
Meghan Trainor,69173
Kid Princess,34704316
Ina Wroldsen,60879
Jenevieve,34338350
Céline Dion,50893
AViVA,12074178
Jessie J,62662
Gracie Abrams,33515545
Maroon 5,96266
Imagine Dragons,94779
Blue,88145
Disney,90544
OneRepublic,98105
Glass Animals,847346
The Chainsmokers,893484
Coldplay,89365
Vicetone,747030
The Walters,28085405
The Weepies,101981
Linkin Park,95439
Various Artists,104700
Westlife,45839
Daft Punk,90513
Jagged Edge,94974
Deep Side,55350
Lukas Graham,38797
Bôa,88189
Walk off the Earth,105493
Fall Out Boy,56782
Queen,41906
Marian Hill,893433
Athletics,88009
bees & honey,94332017
Cafuné,12040083
Hillsong Young & Free,835002
英语听力,861973
Owl City,40859
One Direction,98351
Black Eyed Peas,88146
Måneskin,12894044
5 Seconds of Summer,893624
Cash Cash,50905
Social House,14024550
The Marías,12893077
Rauf & Faik,28276929
Broiler,886022
SLANDER,1137239
Crystal Castles,89362
Oh Wonder,1050128
Two Steps From Hell,102714
Bon Iver,29337
The Beatles,101988
Loud Luxury,12096064
Audiomachine,87066
The Hollywood Edge Sound Effects Library,13054132
Original Broadway Cast of Hamilton,12492240
The Score,212904
The Bosshoss,103603
KATSEYE,94119217
Caravan Palace,90076
R. City,99630
The Kiboomers,12979289
Radiohead,99384
Clean Bandit,754010
Eagles,91725
Backstreet Boys,88148
LANY,999460
Fifth Harmony,794152
Tungevaag & Raaban,1090022
Groove Coverage,93186
Little Mix,96072
Silk Sonic,46974835
Carpenters,89363
FrogMonster 蛙蛙,30549371
AJR,88089
Bandari,50149829
Deep East Music,91721
KALEO,1147015
Naomi,97517
Anthem Lights,86862
Silo,48256353
Quadrant Shield Music,35134381
MEDUZA,136629
Timeflies,103858
Pink Floyd,98541
Nightwish,97516
Galdive,30820517
Against the Current,783418
Chromeo,50975
Blaxy Girls,48525
The Arcturians,12475227
YMIR,105754
t.A.T.u.,131243
Ember Island,1100001
creamy,89809
Max Elto,905517
Michael Learns To Rock,96269
双城之战,50428486
Guns N' Roses,93183
Army of Lovers,85832
11:11 Music Group,48100464
Mako,68192
Gothic Storm,861048
Worry Free Studios,46503501
The Greatest Showman Ensemble,13222411
Fool's Garden,92442
Cigarettes After Sex,12023319
Terror Squad,81422
米津玄師,159300
DECO*27,14001
ピノキオピー,15229
澤野弘之,15290
松下優也,14771
DAISHI DANCE,13953
きくお,14640
鏡音レン,190527
Nujabes,162138
ryo (supercell),905885
坂本龍一,15289
KAITO,12095248
久石譲,14408
DJ Okawari,13950
sasakure.UK,15396
藤井風,33760539
Vaundy,34343313
いよわ,36112698
MARETU,12011147
なとり,53771878
Shing02,15389
Michita,20516
こっちのけんと,53715001
稲葉曇,13226756
imase,50901152
椎名もた,14257
折戸伸治,15102
れるりり,15690
Aqu3ra,35633563
雨良 Amala,59372743
高梨康治,15639
john,35429589
TK from 凛として時雨,159644
Giga,804355
Shino,32240981
小瀬村晶,13773
mpi,12475614
かいりきベア,14670
原口沙輔,31653068
西原健一郎,14527
re:plus,21182
r-906,47723547
kanaria,46326089
Aiobahn +81,94216475
なきそ,46410924
SoulJa,15286
mayauzz,52801605
春野,30074584
ぜったくん,37149897
wowaka,15823
虻瀬,50218924
Neru,546614
天馬司,54405246
神山羊,12323265
miu-clips,17088
牛尾憲輔,18392
東京真中,61230613
黒うさP,14610
Eve,1075075
Yunomi,1025016
ナユタン星人,12263373
マサラダ,58203263
川井憲次,14437
山下達郎,15852
山岡晃,15871
青柳冬弥,57060699
シャノン,31045024
40mP,15979
はるまきごはん,12175308
神代類,94531582
菅野祐悟,14472
すりぃ,15248022
Ayase,35135807
和田薫,15824
hideyuki hashimoto,14305
キタニタツヤ,15250026
Otokaze,15164
Foxtail-Grass Studio,19481
和田光司,15800
Yosh,12531093
まふまふ,896913
横山克,15917
カンザキイオリ,15250024
市川淳,14382
東雲彰人,57061306
渡辺雅二,15812
しゃろう,46832974
増田俊郎,14762
Yooh,1007211
とあ,1087651
吐息,46609676
田熊理秀,14825
イチ,34386739
神前暁,14629
Chinozo,34612165
n-buna,981185
矢野立美,15948
星野源,14242
halyosy,20587
宗次郎,14960
初音ミク,159692
重音テト,1141075
GUMI,188274
鏡音リン,160154
宇多田ヒカル,18122
早見沙織,16501
Aimer,16152
椎名林檎,17635
Ado,37231059
R!N/Gemie,12531080
歌愛ユキ,201393
Emi Evans,190622
可不,47893107
v flower,1002040
LiSA,16995
巡音ルカ,190523
加藤ミリヤ,16695
小林未郁,16823
Lyn,12262949
Daoko,855508
松原みき,160053
Reol,13059968
花澤香菜,16456
瑞葵(mizuki),981205
Lia,16993
KOKIA,16686
MEIKO,1120148
『ユイカ』,48668915
當山みれい,954456
MIMI,29813586
milet,31464106
茅野愛衣,16906
十明,54169132
中島美嘉,160729
梶浦由記,16692
戸松遥,17905
花譜,32062601
青山テルマ,16017
ゆーり,58881547
雨衣,97136660
ヰ世界情緒,51020133
宵崎奏,54405247
Che'Nelle,52065
kojikoji,35124139
具島直子,16854
P丸様。,37609983
鎖那,1002089
広橋真紀子,16424
浜崎あゆみ,16405
IA,190861
鹿乃,17014
Tielle,12629228
倉木麻衣,161545
Laco,32469869
中島みゆき,17307
Nozomi Kitay,55574497
佐藤千亜妃,12931819
ななひら,15021
幾田りら,35488854
小野リサ,17479
東雲絵名,94530703
八神純子,18229
さユり,1116297
majiko,191316
やなぎなぎ,18303
水瀬いのり,1004106
のみこ,17423
サツキ,47041447
nyamura,51065825
手嶌葵,17904
ちゃんみな,12301304
草薙寧々,94530717
Such,34554049
ヒグチアイ,942124
nicamoq,12605718
東山奈央,18012
釘宮理恵,16690
朝比奈まふゆ,94531572
香椎モイミ,34262015
高橋洋子,17909
鳳えむ,94530715
青葉市子,160319
美波,30616560
lasah,975323
星街すいせい,47665851
鷲尾伶菜,29809661
ロクデナシ,48682307
KOTOKO,16691
あよ,29500370
茶太,17601
ラブリーサマーちゃん,1120193
ぺぽよ,50767975
磯村由紀子,16658
ReoNa,14057051
田中理恵,161961
